artist,nominations,year_with_most_nominations,most_common_category,most_common_award_class
Paul Reed,1,1969,Best Score From An Original Cast Show Album,album
Paul Riser,1,1972,Best R&B Instrumental Performance,track
Paul Shaffer,1,2001,Best Country Instrumental Performance,track
Paul Shure,1,1958,Best Classical Performance - Chamber Music (Including Chamber Orchestra),track
Paul Simon,4,1975,Album Of The Year,album
Paul Whiteman,2,1984,Best Album Notes,album
Paul Winchell,1,1974,Best Recording For Children,track
Paul Winter,2,1994,Best New Age Album,album
Paul Winter Consort,4,1993,Best New Age Album,album
Paula Abdul,2,1990,Best Album Package,album
Paula Cole,1,1997,Best New Artist,artist
Pavão Quartet,1,2011,Best Choral Performance,track
Peabo Bryson,4,1992,Best Pop Performance By A Duo Or Group With Vocal,track
Pearl Jam,2,1995,Best Hard Rock Performance,track
Peggy Lee,2,1960,Best Album Cover,album
Pentatonix,1,2016,Best Country Duo/Group Performance,track
Pepe Aguilar,4,2000,Best Mexican/Mexican-American Album,album
Percy Faith,1,1960,Record Of The Year,track
Percy Faith Orchestra And Chorus,1,1969,Best Contemporary Performance By A Chorus,track
Perry Como,1,1958,"Best Vocal Performance, Male",track
Pert Kelton,1,1958,Best Original Cast Album (Broadway Or TV),album
Pete Seeger,5,2019,Best Traditional Folk Album,album
Peter,5,1962,Best Folk Recording,track
Peter Asher,2,1977,Producer Of The Year,other
Peter Cook,1,1974,Best Spoken Word Recording,track
Peter Erskine,1,2006,Best Large Jazz Ensemble Album,album
Peter Frampton,1,2006,Best Pop Instrumental Album,album
Peter Gabriel,5,1989,Best Music Video - Short Form,other
Peter Kater,2,2017,Best New Age Album,album
Peter Martin,1,2016,Best Chamber Music/Small Ensemble Performance,track
Peter Nero,2,1961,Best New Artist Of 1961,artist
Peter Salaff,1,1996,Best Chamber Music Performance,track
Peter Schickele,5,1989,Best Comedy Album,album
Peter Tosh,1,1987,Best Reggae Recording,track
Peter Ustinov Herbert von Karajan,1,1959,Best Recording For Children,track
Petra,4,1990,Best Rock Gospel Album,album
Petula Clark,2,1964,Best Contemporary (R&R) Vocal Performance - Female,track
Pharoah Sanders,1,1988,"Best Jazz Instrumental Performance, Group",track
Pharrell,1,2006,Best Rap Song,track
Pharrell Williams,7,2013,"Producer Of The Year, Non-Classical",other
Phil Collins,7,1985,"Best Pop Vocal Performance, Male",track
Phil Driscoll,1,1984,Best Gospel Performance By A Duo Or Group,track
Phil Ramone,1,1980,Producer Of The Year (Non-Classical),other
Phil Woods,3,1975,Best Instrumental Composition,track
Phil Woods Quartet,1,1982,"Best Jazz Instrumental Performance, Group",track
Philadelphia Orchestra,7,2019,Best Classical Choral Performance (Other Than Opera),track
Philharmonia Chorus,2,1962,"Best Choral Performance, Classical (Other Than Opera)",track
Philharmonia Orchestra,5,1980,"Best Choral Performance, Classical (Other Than Opera)",track
Philip Bailey,1,1986,"Best Gospel Performance, Male",track
Philip Setzer,9,1989,Best Chamber Music Performance,track
Phoenix,1,2009,Best Alternative Music Album,album
Phoenix Bach Choir,1,2007,"Best Engineered Album, Classical",album
Phoenix Chorale,1,2015,Best Choral Performance,track
Pierre Boulez,4,1970,"Best Engineered Recording, Classical",track
Pinetop Perkins,1,2010,Best Traditional Blues Album,album
Pink,3,2001,Best Pop Collaboration With Vocals,other
Pink Floyd,2,1980,Best Engineered Recording - Non-Classical,track
Pistol Annies,1,2019,Best Country Album,album
Pitbull,1,2015,"Best Latin Rock, Urban or Alternative Album",album
Pittsburgh Symphony Orchestra,6,2019,"Best Engineered Album, Classical",track
Placido Domingo,2,1984,Best Latin Pop Performance,track
Pollution,1,1971,Best Album Cover,album
Poncho Sanchez,1,1999,Best Latin Jazz Performance,track
Pops Staples,1,1994,Best Contemporary Blues Album,album
Porter Wagoner,2,1966,"Best Album Cover, Photography",album
Porter Wagoner And The Blackwood Brothers,1,1966,Best Sacred Recording (Musical),track
Porter Wagoner And The Blackwood Brothers Quartet,1,1967,Best Gospel Performance,track
Portugal. The Man,1,2017,Best Pop Duo/Group Performance,track
Post Malone,2,2019,Best Pop Duo/Group Performance,track
Prince,6,1984,Best Male R&B Vocal Performance,track
Professor Longhair,1,1987,Best Traditional Blues Recording,track
Public Enemy,1,2007,"Best Remixed Recording, Non-Classical",track
Puff Daddy,2,1997,Best Rap Album,album
Punch Brothers,1,2018,Best Folk Album,album
Q-Tip,1,2005,Best Dance Recording,track
Queen Ida,1,1982,Best Ethnic Or Traditional Folk Recording,track
Queen Latifah,3,1994,Best Instrumental Arrangement Accompanying Vocalist(s),other
Quetzal,1,2012,"Best Latin Rock, Urban or Alternative Album",album
Quicksilver,1,2019,Best Bluegrass Album,album
Quincy D. III,1,1990,Best Rap Performance By A Duo Or Group,track
Quincy Jones,18,1990,Best Arrangement On An Instrumental,other
Quincy Jones And Various Artists,1,1990,Album Of The Year,album
Quinn Kelsey,1,2009,Best Choral Performance,track
R. Kelly,3,1997,Best Male R&B Vocal Performance,track
R.E.M.,3,1991,Best Alternative Music Album,album
RCA Italiana Opera Orchestra,4,1963,Best Classical Vocal Soloist Performance,track
RCA Orchestra,1,1963,Best Classical Performance - Vocal Soloist (With Or Without Orchestra),track
RCA Victor Symphony Orchestra,1,1965,Best Classical Choral Performance (Other Than Opera),track
ROSALÍA,2,2019,"Best Latin Rock, Urban or Alternative Album",album
Radiohead,6,2008,Best Alternative Music Album,album
Rage Against The Machine,2,1996,Best Hard Rock Performance,track
Rainer Kussmaul,1,2005,Best Classical Vocal Performance,track
Rainer Vilu,1,2013,Best Choral Performance,track
Ralph Stanley,2,2001,Best Bluegrass Album,album
Ralph Williams,1,1963,Best Score From An Original Cast Show Album,album
Ramblin' Jack Elliott,2,1995,Best Traditional Blues Album,album
Rami Jaffee,1,2017,Best Rock Song,track
Ramsey Lewis,2,1966,Best R&B Instrumental Performance,track
Ramsey Lewis Trio,1,1965,Best Instrumental Jazz Performance - Small Group Or Soloist With Small Group,track
Ramón Ayala y Sus Bravos Del Norte,1,2001,Best Mexican/Mexican-American Album,album
Randy Brecker,5,1997,Best Contemporary Jazz Album,album
Randy Newman,7,1984,"Best Arrangement, Instruments and Vocals",other
Randy Scruggs,4,1989,Best Country Instrumental Performance,track
Randy Travis,8,1987,Best Country Collaboration With Vocals,album
Randy Waldman,1,2018,"Best Arrangement, Instruments and Vocals",other
Ranky Tanky,1,2019,Best Regional Roots Music Album,album
Raphael Hillyer,1,1965,Best Classical Chamber Music Performance - Instrumental Or Vocal,track
Rascal Flatts,1,2005,Best Country Song,track
Ravi Shankar,3,1972,Best World Music Album,album
Ray Barretto,1,1989,Best Tropical Latin Performance,track
Ray Charles,23,2004,Best Rhythm & Blues Recording,track
Ray Conniff Singers,1,1966,Best Performance By A Chorus,track
Ray LaMontagne And The Pariah Dogs,1,2010,Best Contemporary Folk Album,album
Ray Parker,1,1984,Best Pop Instrumental Performance,track
Ray Price,2,1970,Best Country Collaboration With Vocals,other
Ray Stevens,2,1970,Best Arrangement Accompanying Vocalist(s),other
Raybon Bros.,1,1997,Best Country Song,track
Reba McEntire,4,1986,Best Country Album,album
Reba Rambo,1,1980,"Best Gospel Performance, Contemporary Or Inspirational",track
Rebecca Harris,1,2018,Best Choral Performance,track
Rebecca Lloyd,1,2012,Best Choral Performance,track
Rebecca St. James,1,1999,Best Rock Gospel Album,album
Rebirth Brass Band,2,2011,Best Regional Roots Music Album,album
Reckless Kelly,1,2013,Best Recording Package,track
Red Hot Chili Peppers,6,2006,Best Rock Song,track
Redd Volkaert,1,2008,Best Country Instrumental Performance,track
Regina Belle,3,1993,Best Pop Performance By A Duo Or Group With Vocal,track
Renée Fleming,1,2014,"Best Arrangement, Instruments and Vocals",other
Residente,1,2017,"Best Latin Rock, Urban or Alternative Album",album
Resonance Big Band,1,2009,Best Instrumental Arrangement,other
Return To Forever,1,1975,Best Jazz Performance By A Group,track
Reuben Lucky Oceans Gosfield,1,1993,Best Country Instrumental Performance,track
Rhiannon Giddens,1,2019,Best American Roots Performance,track
Rhonda Vincent And The Rage,1,2017,Best Bluegrass Album,album
Ricardo Montaner,1,2019,Best Latin Pop Album,album
Rice University,1,2017,Best Opera Recording,track
Richard Bonynge,1,1981,Best Classical Vocal Soloist Performance,track
Richard Burton,1,1975,Best Recording For Children,track
Richard Harris,2,1968,Best Arrangement Accompanying Vocalist(s),other
Richard Kaufman,1,1992,Best Pop Instrumental Performance,track
Richard Kiley,2,1959,Best Broadway Show Album,album
Richard Pryor,6,1974,Best Comedy Recording,track
Richard Rodgers,1,2019,Best Musical Theater Album,album
Richie Havens,1,1986,Best Contemporary Folk Recording,track
Richmond Symphony,1,2019,"Producer Of The Year, Classical",other
Rick Nelson,1,1986,Best Spoken Word Or Non-Musical Recording,track
Rick Ross,1,2019,Best Rap Song,track
Rick Rubin,2,2006,"Producer Of The Year, Non-Classical",other
Rick Springfield,1,1981,"Best Rock Vocal Performance, Male",track
Rickie Lee Jones,2,1979,"Best Jazz Vocal Performance, Duo Or Group",artist
Ricky Kej,1,2014,Best New Age Album,album
Ricky Martin,2,1998,Best Latin Pop Album,album
Ricky Skaggs,11,1998,Best Bluegrass Album,album
Ricky Skaggs And Kentucky Thunder,1,2006,Best Bluegrass Album,album
Riders In The Sky,2,2000,Best Musical Album For Children,album
Rihanna,10,2009,Best Rap/Sung Collaboration,other
Ringo Starr,1,1972,Album Of The Year,album
Rita Coolidge,2,1973,Best Country Vocal Performance By A Duo Or Group,track
Rita Moreno,1,1972,Best Recording For Children,track
Rival Sons,2,2019,Best Rock Album,album
Rob Cavallo,1,1998,"Producer Of The Year, Non-Classical",other
Rob McConnell,3,1983,Best Arrangement On An Instrumental,other
Rob Thomas,3,1999,Best Pop Collaboration With Vocals,track
Robbie,1,2019,Best Reggae Album,album
Robert,2,1964,"Best Album Cover, Photography",album
Robert Armbruster Orchestra,1,1965,Best Original Score Written For A Motion Picture Or Television Show,other
Robert Cray,2,1986,Best Rock Instrumental Performance,track
Robert Dillon,1,2016,Best Chamber Music/Small Ensemble Performance,track
Robert Glasper Experiment,2,2012,Best R&B Album,album
Robert Goulet,1,1962,Best New Artist Of 1962,artist
Robert Guillaume,1,1994,Best Spoken Word Album For Children,album
Robert Jackson,1,1974,Best Score From The Original Cast Show Album,album
Robert John Mutt Lange,1,1991,Best Song Written Specifically For A Motion Picture Or For Television,track
Robert Johnson,1,1990,Best Historical Album,album
Robert La Fasse,1,1989,Best Musical Cast Show Album,album
Robert Lockwood,1,2007,Best Traditional Blues Album,album
Robert Lopez,1,2014,Best Song Written For Visual Media,track
Robert Mann,4,1965,Best Chamber Music Performance,track
Robert Morse,1,1961,Best Original Cast Show Album,album
Robert O'Keefe,1,1992,Best Spoken Word Or Non-Musical Album,album
Robert Palmer,2,1986,"Best Rock Vocal Performance, Male",track
Robert Plant,7,2008,Best Pop Collaboration With Vocals,other
Robert Preston,1,1958,Best Original Cast Album (Broadway Or TV),album
Robert Randolph,1,2019,Best Contemporary Blues Album,album
Robert Russell Bennett,1,1959,Best Engineering Contribution - Classical Recording,track
Robert Shaw,6,1985,Best Engineered Recording - Classical,track
Robert Shaw Chorale,4,1961,Best Classical Choral Performance (Other Than Opera),track
Robert Shaw Festival Singers,1,1990,Best Engineered Recording - Classical,track
Robert Shaw Orchestra,2,1961,Best Classical Choral Performance (Other Than Opera),track
Robert Shaw conductor,1,1990,Best Engineered Recording - Classical,track
Robert Spano,4,2002,"Best Engineered Album, Classical",album
Robert Woods,7,1980,Classical Producer Of The Year,other
Roberta Flack,7,1972,Record Of The Year,track
Roberto Blades,1,2001,Best Salsa Album,album
Roberto Carlos,1,1988,Best Latin Pop Performance,track
Roberto Díaz,1,2017,Best Contemporary Classical Composition,other
Robin Williams,5,1988,Best Comedy Recording,track
Rockin' Sidney,1,1985,Best Ethnic Or Traditional Folk Recording,track
Rod McKuen,1,1968,Best Spoken Word Recording,track
Rod Stewart,1,2004,Best Traditional Pop Vocal Album,album
Roddy Ricch,3,2019,Best Rap Performance,track
Rodney Crowell,2,1989,Best Americana Album,album
Rodney Dangerfield,1,1980,Best Comedy Recording,track
Rodrigo y Gabriela,1,2019,Best Contemporary Instrumental Album,album
Roger Miller,10,1965,Best Country & Western Album,track
Roger Miller AND ALSO O.C. Smith,2,1968,Best Country Song,track
Roger Tapping,1,2002,Best Chamber Music Performance,track
Roger Waters,1,2015,Best Surround Sound Album,album
Rogerio Boccato,1,2019,Best Latin Jazz Album,album
Rome Opera House Orchestra,1,1962,Best Opera Recording,track
Rome Opera Orchestra,2,1960,Best Classical Opera Production,other
Ron Carter,1,1994,"Best Jazz Instrumental Performance, Individual Or Group",track
Ron Funches,1,2016,Best Song Written For Visual Media,track
Ronnie Dyson,1,1968,Best Score From An Original Cast Show Album,album
Ronnie Milsap,7,1974,"Best Country Vocal Performance, Male",track
Roots Radics,1,2019,Best Reggae Album,album
Rosanne Cash,6,2014,Best American Roots Song,track
Roy Clark,1,1982,Best Country Instrumental Performance,track
Roy Hargrove,1,2002,"Best Jazz Instrumental Album, Individual or Group",album
Roy Hargrove's Crisol,1,1997,Best Latin Jazz Performance,track
Roy Haynes,3,1988,Best Instrumental Composition,track
Roy Orbison,4,1980,Best Country Performance Duo Or Group,track
Royal Opera House Chorus - Covent Garden,2,1970,Best Opera Recording,track
Royal Opera House Orchestra - Covent Garden,4,1961,Best Opera Recording,track
Royal Philharmonic Chorus,1,1960,Best Classical Performance - Choral (Including Oratorio),track
Royal Philharmonic Orchestra,3,1960,Best Classical Performance - Choral (Including Oratorio),track
Ruben Ramos,1,2008,Best Tejano Album,album
Ruby Dee,1,2006,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",album
Rubén Blades,8,1986,Best Tropical Latin Performance,album
Rubén Blades Con Roberto Delgado,2,2015,Best Tropical Latin Album,album
Rudresh Mahanthappa,1,2015,Best Instrumental Composition,other
Rudy Vallee,1,1961,Best Original Cast Show Album,album
Rufus,2,1974,Best R&B Performance By A Duo Or Group With Vocal,track
Rundfunkchor Berlin,3,2007,Best Choral Performance,track
Russ Taff,2,1983,"Best Gospel Performance, Male",album
Russian National Orchestra,1,2003,Best Spoken Word Album For Children,album
Ruth Brown,1,1989,"Best Jazz Vocal Performance, Female",track
Ruth Pointer,1,1984,Best Vocal Arrangement For Two Or More Voices,other
Ry Cooder,5,1988,Best World Music Album,album
Ryan Bingham,1,2010,"Best Song Written For Motion Picture, Television Or Other Visual Media",track
Ryan Lewis,4,2013,Best New Artist,track
Ryuichi Sakamoto,1,1988,Best Album Of Original Instrumental Background Score Written For A Motion Picture Or Television,album
RÜFÜS DU SOL,2,2019,Best Dance Recording,album
SKF Matsumoto Children's Chorus,1,2015,Best Opera Recording,track
SKF Matsumoto Chorus,1,2015,Best Opera Recording,track
Sade,4,1985,Best New Artist,track
Saint Louis Symphony Orchestra,2,1984,Best Classical Orchestral Recording,other
Saint Sinner,1,2019,Best Dance/Electronic Album,album
Saito Kinen Orchestra,1,2015,Best Opera Recording,track
Salli Terri,1,1958,Best Engineered Record (Classical),track
Salt-N-Pepa,1,1994,Best Rap Performance By A Duo Or Group,track
Sam And Dave,1,1967,"Best Rhythm & Blues Group Performance, Vocal Or Instrumental",track
Sam Cooke,2,1985,Best Album Notes,album
Sam Kinison,1,1994,Best Spoken Comedy Album,album
Sam Phillips,1,1986,Best Spoken Word Or Non-Musical Recording,track
Sam Samudio,1,1971,Best Album Notes,album
Sam Smith,4,2014,Best New Artist,track
Samantha Bee,1,2010,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",album
Sammi Smith,2,1971,Best Country Song,track
Sammy Davis,1,1962,Song Of The Year,track
Sammy Smith,1,1961,Best Original Cast Show Album,album
Samuel Favre,1,2005,Best Small Ensemble Performance (with or without Conductor),track
Samuel Rhodes,3,1971,Best Chamber Music Performance,track
San Francisco Ballet Orchestra,1,2015,"Best Engineered Album, Classical",album
San Francisco Girls Chorus,1,2009,Best Choral Performance,track
San Francisco Symphony,4,2009,Best Orchestral Performance,track
San Francisco Symphony Boys Choir,1,1992,Best Performance Of A Choral Work,track
San Francisco Symphony Chorus,2,1995,Best Choral Performance,track
San Francisco Symphony Girls Choir,1,1992,Best Performance Of A Choral Work,track
San Francisco Symphony Orchestra,5,1992,Best Orchestral Performance,track
Sandi Patti,5,1986,"Best Gospel Performance By A Duo Or Group, Choir Or Chorus",track
Sandra Crouch,1,1983,"Best Soul Gospel Performance, Female",track
Santana,10,1999,Best Pop Collaboration With Vocals,track
Sara Bareilles,1,2019,Best American Roots Performance,track
Sara Gazarek,2,2019,"Best Arrangement, Instruments and Vocals",album
Sara Parkins,1,2001,Best Chamber Music Performance,track
Sara Ramirez,1,2005,Best Musical Show Album,album
Sarah Jarosz,2,2016,Best American Roots Performance,album
Sarah McLachlan,3,1997,Best Female Pop Vocal Performance,track
Sarah Tannehill,1,2012,Best Choral Performance,track
Sarah Vaughan,2,1972,Best Arrangement Accompanying Vocalist(s),other
Scott Hoying,2,2014,"Best Arrangement, Instrumental or A Cappella",other
Seal,4,1995,Best Male Pop Vocal Performance,track
Sean Connors,1,2016,Best Chamber Music/Small Ensemble Performance,track
Sean Paul,1,2003,Best Reggae Album,album
Seattle Symphony,4,2018,Best Classical Instrumental Solo,other
Sebastian Cabot,1,1974,Best Recording For Children,track
Sebastian Plano,1,2019,Best New Age Album,album
Sebastian Yatra,1,2019,Best Latin Pop Album,album
Secret Agent 23 Skidoo,1,2016,Best Children's Album,album
Seiji Ozawa,1,2012,Best Classical Vocal Solo,other
Sekou Andrews,1,2019,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",album
Selena,1,1993,Best Mexican-American Album,album
Self-Made Men + Dana,1,2019,Best Traditional Blues Album,album
Senator Barack Obama,1,2005,Best Spoken Word Album,album
Sergio Mendes,1,1992,Best World Music Album,album
Sesame Street Cast,1,1973,Best Recording For Children,track
Sesame Street Characters,1,2001,Best Musical Album For Children,album
Shabba Ranks,2,1991,Best Reggae Album,album
Shadowfax,1,1988,Best New Age Performance,track
Shaggy,2,1995,Best Reggae Album,album
Shakira,3,2000,Best Latin Pop Album,album
Shania Twain,5,1998,Best Country Song,track
Shawn Colvin,3,1997,Best Contemporary Folk Recording,track
Shawn Mendes,1,2019,Best Pop Duo/Group Performance,track
Sheena Easton,2,1981,Best Mexican-American Performance,artist
Shel Silverstein,1,1984,Best Recording For Children,track
Shelby Lynne,1,2000,Best New Artist,artist
Shellback,1,2016,Best Song Written For Visual Media,track
Shelley Berman,1,1959,Best Comedy Performance - Spoken Word,track
Shenandoah,1,1995,Best Country Collaboration With Vocals,other
Shenandoah Conservatory Chorus,1,1999,Best Choral Performance,track
Shepherd School Of Music,1,2017,Best Opera Recording,track
Sheryl Crow,10,1994,Best Female Rock Vocal Performance,track
Shirley Caesar,10,1984,Best Traditional Soul Gospel Album,album
Shirley Caesar's Outreach Convention Choir,1,1996,Best Gospel Album By A Choir Or Chorus,album
Shirley Horn,3,1992,Best Instrumental Arrangement Accompanying Vocal(s),other
Si Zentner,1,1961,Best Performance By An Orchestra - For Dancing,track
Sibbi Bernhardsson,1,2008,Best Chamber Music Performance,track
Sidney Poitier,1,2000,Best Spoken Word Album,album
Siedah Garrett,2,1990,Best Instrumental Arrangement Accompanying Vocal(s),other
Siegel-Schwall Band,1,1972,Best Album Cover,album
Sigourney Weaver,1,2010,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",album
Sikiru Adepoju,1,2008,Best Contemporary World Music Album,album
Silk City,1,2018,Best Dance Recording,track
Silk Road Ensemble,1,2008,"Best Engineered Album, Classical",album
Silver Convention,1,1975,Best R&B Instrumental Performance,track
Simin Ganatra,1,2008,Best Chamber Music Performance,track
Simon And Garfunkel,9,1970,Record Of The Year,track
Simply Red,1,1989,Best Rhythm & Blues Song,track
Sinfonia Of London Orchestra,1,1989,Best Instrumental Composition,other
Sinfonietta Riga,1,2013,Best Choral Performance,track
Sinéad O'Connor,1,1990,Best Alternative Music Performance,track
Sir Edward Downes,1,1973,Best Classical Vocal Soloist Performance,track
Sir Mix-A-Lot,1,1992,Best Rap Solo Performance,track
Sirah,1,2012,Best Dance Recording,track
Skrillex,5,2011,Best Dance Recording,track
Skrillex And Diplo,2,2015,Best Dance Recording,album
Slayer,2,2006,Best Metal Performance,track
Slipknot,1,2005,Best Metal Performance,track
Sly,2,2006,Best R&B Performance By A Duo Or Group With Vocals,album
Sly And Robbie,1,1998,Best Reggae Album,album
Smokey Robinson,1,1987,"Best R&B Vocal Performance, Male",track
Smokie Norful,1,2004,Best Contemporary Soul Gospel Album,album
Snarky Puppy,3,2013,Best Contemporary Instrumental Album,album
Social House,1,2019,Best Pop Duo/Group Performance,track
Soeur Sourire,1,1963,Best Gospel Or Other Religious Recording (Musical),track
Solange,1,2016,Best R&B Performance,track
Solido,1,2001,Best Tejano Album,album
Solomon Burke,1,2002,Best Contemporary Blues Album,album
Sonny Rollins,1,2001,"Best Jazz Instrumental Album, Individual or Group",album
Sons,2,2012,Album Of The Year,album
Sophia Loren Kent Nagano,1,2003,Best Spoken Word Album For Children,album
Soul Asylum,1,1993,Best Rock Song,track
Soul II Soul,2,1989,Best R&B Instrumental Performance,track
Soundgarden,2,1994,Best Hard Rock Performance,track
Southern Avenue,1,2019,Best Contemporary Blues Album,album
Soweto Gospel Choir,4,2006,Best Traditional World Music Album,album
Spanish Harlem Orchestra,3,2004,Best Tropical Latin Album,album
Spektral Quartet,1,2019,Best World Music Album,album
Sr.,4,1958,Best Album Created For Children,track
St. Louis Symphony,1,2014,Best Orchestral Performance,track
St. Paul Chamber Orchestra,2,2013,Best Classical Vocal Solo,album
St. Vincent,3,2018,Best Alternative Music Album,track
Staatskapelle Berlin,1,2002,Best Opera Recording,track
Stan Freberg,3,1958,Best Engineering Contribution - Novelty,track
Stan Getz,5,1964,Album Of The Year,track
Stan Kenton,2,1961,Best Jazz Performance - Large Group (Instrumental),track
Stark Sands,1,2013,Best Musical Theater Album,album
Starland Vocal Band,2,1976,"Best Arrangement For Voices (Duo, Group Or Chorus)",artist
Static Major,1,2008,Best Rap Song,track
Stavanger Symphony Orchestra,1,2019,Best Immersive Audio Album,album
Steel Pulse,2,1986,Best Reggae Album,album
Steely Dan,7,2000,Best Engineered Recording - Non-Classical,track
Steep Canyon Rangers,1,2012,Best Bluegrass Album,album
Stephanie Mills,3,1980,Best Cast Show Album,track
Stephen Colbert,2,2009,Best Comedy Album,album
Stephen J. Erdody,1,2001,Best Chamber Music Performance,track
Stephen Marley,3,2007,Best Reggae Album,album
Stephen Schwartz,1,1995,Best Song Written Specifically For A Motion Picture Or For Television,track
Sterling Holloway,1,1974,Best Recording For Children,track
Steve Allen,1,1963,Best Original Jazz Composition,other
Steve Barnett,1,2019,Best Classical Solo Vocal Album,album
Steve Curry,1,1968,Best Score From An Original Cast Show Album,album
Steve Earle,3,2004,Best Contemporary Folk Album,album
Steve Gadd Band,1,2018,Best Contemporary Instrumental Album,album
Steve Goodman,1,1987,Best Contemporary Folk Recording,track
Steve Johnson,1,2015,Best Rock Song,track
Steve Kazee,1,2012,Best Musical Theater Album,album
Steve Lacy,1,2019,Best Urban Contemporary Album,album
Steve Lawrence,1,1960,Best Performance By A Vocal Group (2 To 6),track
Steve Lillywhite,1,2005,"Producer Of The Year, Non-Classical",other
Steve Lukather,1,2001,Best Pop Instrumental Album,album
Steve Mandell,1,1973,Best Country Instrumental Performance,track
Steve Martin,5,1977,Best Comedy Recording,track
Steve Riley,1,2012,Best Regional Roots Music Album,album
Steve Stevens,1,1986,"Best Pop Instrumental Performance, (Orchestra, Group Or Soloist)",track
Steve Vai,2,1993,Best Rock Instrumental Performance,track
Steve Wariner,4,1991,Best Country Instrumental Performance,track
Steve Winwood,4,1986,Best Engineered Recording - Non-Classical,track
Steven Curtis Chapman,6,1991,Best Pop/Contemporary Gospel Album,album
Steven D. Miller,1,2001,Best Chamber Music Performance,track
Steven Drozd,1,2006,"Best Engineered Album, Non-Classical",album
Steven Epstein,7,1984,"Producer Of The Year, Classical",other
Steven Smith,1,2019,"Producer Of The Year, Classical",other
Stevie Ray Vaughan,4,1992,Best Contemporary Blues Album,track
Stevie Wonder,24,1973,"Best R&B Vocal Performance, Male",track
Stills And Nash,1,1969,Best New Artist Of The Year,artist
Sting,13,1993,Best Male Pop Vocal Performance,track
Stone Temple Pilots,1,1993,Best Hard Rock Performance With Vocal,track
Stuart Duncan,2,2012,"Best Engineered Album, Non-Classical",album
Sturgill Simpson,1,2016,Best Country Album,album
Sugar Blue,1,1984,Best Traditional Blues Recording,track
Sugaray Rayford,1,2019,Best Contemporary Blues Album,album
Sugarland,2,2008,Best Country Performance By A Duo Or Group With Vocals,track
Sukhvinder Singh,1,2009,"Best Song Written For Motion Picture, Television Or Other Visual Media",track
Sunny Sauceda,1,2004,Best Tejano Album,album
Supersax,1,1973,Best Jazz Performance By A Group,track
Supertramp,2,1979,Best Album Package,album
Survivor,1,1982,Best Rock Performance By A Duo Or Group With Vocal,track
Suzanne Vega,2,1990,Best Album Package,album
Swae Lee,2,2019,Best Pop Duo/Group Performance,track
Sweat And Tears,3,1969,Album Of The Year,album
Swedish Radio Symphony Orchestra,1,2008,Best Instrumental Soloist(s) Performance (with Orchestra),track
Swingle Singers,1,1969,"Best Choral Performance, Classical (Other Than Opera)",track
Switchfoot,1,2010,Best Rock Or Rap Gospel Album,album
Swizz Beatz,1,2010,Best Rap Performance By A Duo Or Group,track
Sydney Chaplin,1,1964,Best Score From An Original Cast Show Album,album
Symphonieorchester Des Bayerischen Rundfunks,1,2005,Best Orchestral Performance,track
Symphony Of The Air Orchestra,2,1958,Best Classical Performance - Concerto Or Instrumental Soloist (With Full Orchestral Accompaniment),track
Symphony Orchestra Of Amelia Romangna,1,1988,Best Classical Vocal Soloist Performance,track
System Of A Down,1,2005,Best Hard Rock Performance,track
T Bone Burnett,3,2001,"Best Song Written For Motion Picture, Television Or Other Visual Media",track
T-Bone Walker,1,1970,Best Ethnic Or Traditional Recording (Including Traditional Blues),track
T-Pain,2,2007,Best R&B Performance By A Duo Or Group With Vocals,track
T.I.,3,2006,Best Rap Performance By A Duo Or Group,track
TLC,5,1999,Best R&B Album,track
Taj Mahal,3,1997,Best Contemporary Blues Album,album
Tak Matsumoto,1,2010,Best Pop Instrumental Album,album
Take 6,10,1988,Best Contemporary Soul Gospel Album,track
Talking Heads,2,1983,Best Album Package,album
Tallinn Chamber Orchestra,1,2013,Best Choral Performance,track
Tammy Blanchard,1,2003,Best Musical Show Album,album
Tammy Wynette,2,1967,"Best Country & Western Solo Vocal Performance, Female",track
Tan Dun,1,2001,"Best Score Soundtrack Album For A Motion Picture, Television Or Other Visual Media",album
Tank And The Bangas,1,2019,Best New Artist,artist
Tanvi Shah,2,2009,"Best Song Written For Motion Picture, Television Or Other Visual Media",track
Tanya Goodman,1,1989,Best Recording For Children,track
Tanya Tucker,5,2019,Best Country Album,track
Taron Egerton,1,2019,Best Compilation Soundtrack For Visual Media,other
Tasha Cobbs,1,2013,Best Gospel/Contemporary Christian Music Performance,track
Taylor Hawkins,1,2017,Best Rock Song,track
Taylor Swift,13,2009,Album Of The Year,track
Ted Nash,1,2019,Best Contemporary Classical Composition,other
Ted Nash Big Band,2,2016,Best Instrumental Composition,album
Tedeschi Trucks Band,1,2011,Best Blues Album,album
Temple University Choir,1,1967,Best Classical Choral Performance (Other Than Opera),track
Temple University Studio Orchestra,2,2019,"Best Arrangement, Instrumental or A Cappella",other
Tenacious D,1,2014,Best Metal Performance,track
Tennessee Ernie Ford,1,1964,Best Gospel Or Other Religious Recording (Musical),track
Tennille,1,1975,Record Of The Year,track
Terell Stafford,2,2019,"Best Arrangement, Instrumental or A Cappella",other
